state,features,propertyType,allPropertyTypes,bathrooms,bedrooms,carspaces,unitNumber,streetNumber,street,area,region,suburb,postcode,displayableAddress,latitude,longitude,landArea,id,buildingArea
NSW,"['BuiltInWardrobes', 'Ensuite', 'Heating', 'Study', 'Shed']",House,['House'],3.0,8.0,2,,453,Dale Crescent,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"453 Dale Crescent, Lavington",-36.0435524,146.949036,910.0,2016990302,
NSW,"['BuiltInWardrobes', 'Gas', 'SwimmingPool', 'Heating', 'Shed']",House,['House'],2.0,4.0,2,,388,Robert Crt,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"388 Robert Crt, Lavington",-36.0467453,146.935226,912.0,2016987771,
NSW,"['Ensuite', 'SecureParking', 'Heating', 'Shed', 'SolarPanels']",House,['House'],2.0,4.0,2,,21,Valerie Way,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"21 Valerie Way, Lavington",-36.0343132,146.9419,799.0,2016986063,
NSW,"['Ensuite', 'SecureParking', 'Shed']",House,['House'],2.0,3.0,2,,53,Lawson Circuit,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"53 Lawson Circuit, Lavington",-36.0435,146.956757,631.0,2016984656,
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Gas', 'SwimmingPool', 'Heating', 'Dishwasher', 'Study', 'Shed']",House,['House'],1.0,2.0,1,31,7,Catherine Crescent,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"31/7 Catherine Crescent, Lavington",-36.0411263,146.958038,,2016983014,
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'Heating']",House,['House'],2.0,3.0,2,,12,Brookfields Mews,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"12 Brookfields Mews, Lavington",-36.0457153,146.92598,359.0,2016978657,
NSW,"['AirConditioning', 'Gas', 'Heating', 'Shed']",House,['House'],1.0,3.0,2,,497,Parnall Street,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"497 Parnall Street, Lavington",-36.0387459,146.930634,780.0,2016969545,
NSW,"['Ensuite', 'Floorboards', 'SecureParking', 'Heating', 'Study']",House,['House'],3.0,3.0,2,,283,Highview Crescent,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"283 Highview Crescent, Lavington",-36.0469322,146.952728,847.0,2016962604,
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Gas', 'SecureParking', 'Heating', 'Study', 'Shed', 'FullyFenced']",House,['House'],2.0,4.0,4,,496,Prune St,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"496 Prune St, Lavington",-36.0394,146.93576,923.0,2016955601,
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Gas', 'SecureParking', 'AlarmSystem', 'Heating', 'Dishwasher', 'Shed']",House,['House'],1.0,3.0,4,,671,Pearsall Street,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"671 Pearsall Street, Lavington",-36.0378227,146.921051,976.0,2016949385,
NSW,"['BuiltInWardrobes', 'Gas', 'SecureParking', 'Heating', 'Dishwasher', 'Shed', 'FullyFenced']",House,['House'],2.0,3.0,3,,27,Mountain View Dr (Quicks Hill),Albury - Greater Region,Regional NSW,LAVINGTON,2641,"27 Mountain View Dr (Quicks Hill), Lavington",-36.0495224,146.953949,683.0,2016944320,167.0
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Gas', 'SecureParking', 'Dishwasher', 'Study']",House,['House'],1.0,3.0,3,,325,Haines Crt,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"325 Haines Crt, Lavington",-36.0537567,146.947723,785.0,2016940228,
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'Heating', 'Dishwasher', 'Study']",House,['House'],2.0,3.0,6,,296,Warren Street,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"296 Warren Street, Lavington",-36.04277,146.954712,645.0,2016935820,
NSW,"['SecureParking', 'Heating']",House,['House'],2.0,4.0,4,,19,Janette Court,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"19 Janette Court, Lavington",-36.04074,146.922409,764.0,2016935246,
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'PetsAllowed', 'Heating', 'Dishwasher']",House,['House'],1.0,2.0,2,21,7,Catherine  Crescent,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"21/7 Catherine  Crescent, Lavington",-36.0411263,146.958038,235.0,2016934905,73.0
NSW,"['AirConditioning', 'BuiltInWardrobes', 'SecureParking', 'Bath', 'Dishwasher']",House,['House'],1.0,2.0,1,1,595,Webb Street,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"1/595 Webb Street, Lavington",-36.0347023,146.950928,,2016892806,
NSW,"['AirConditioning', 'Gas', 'PetsAllowed', 'Shed', 'FullyFenced']",House,['House'],1.0,2.0,1,2,538,Kotthoff Street,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"2/538 Kotthoff Street, Lavington",-36.03698,146.939865,,2016890329,
NSW,"['Shed', 'SolarPanels']",House,['House'],1.0,2.0,1,,582,Heathwood Avenue,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"582 Heathwood Avenue, Lavington",-36.0440331,146.927582,891.0,2016906856,
NSW,"['Ensuite', 'Gas', 'SwimmingPool']",House,['House'],2.0,3.0,2,,477,Neville Street,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"477 Neville Street, Lavington",-36.0456848,146.935974,683.0,2016878652,
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Gas', 'SecureParking', 'Heating', 'Dishwasher', 'Shed']",House,['House'],1.0,4.0,4,,324,Cheyenne Drive,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"324 Cheyenne Drive, Lavington",-36.0489159,146.94873,683.0,2016871349,
NSW,"['Floorboards', 'Gas', 'SecureParking', 'Bath', 'Dishwasher', 'Shed', 'FullyFenced']",House,['House'],1.0,3.0,1,,537,Webb Street,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"537 Webb Street, Lavington",-36.03832,146.950485,753.0,2016964861,
NSW,"['Floorboards', 'SecureParking', 'FullyFenced']",House,['House'],1.0,3.0,3,,456,Jason Court,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"456 Jason Court, Lavington",-36.04276,146.9445,671.0,2017003641,104.0
NSW,"['BuiltInWardrobes', 'SecureParking', 'Heating', 'Shed']",House,['House'],1.0,3.0,2,,309,Cheyenne Drive,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"309 Cheyenne Drive, Lavington",-36.0495567,146.949829,669.0,2016978978,
NSW,"['SecureParking', 'Heating', 'Shed']",House,['House'],1.0,4.0,5,,520,Prune Street,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"520 Prune Street, Lavington",-36.0377274,146.935974,834.0,2016968393,140.0
NSW,[],House,['House'],1.0,3.0,,,360,Boomerang Drive,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"360 Boomerang Drive, Lavington",-36.04591,146.946487,771.0,2016959330,
NSW,"['Gas', 'SecureParking', 'Bath', 'Dishwasher']",House,['House'],1.0,3.0,1,,552,Moffat Street,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"552 Moffat Street, Lavington",-36.0349,146.93132,765.0,2016939208,
NSW,"['BuiltInWardrobes', 'Gas']",House,['House'],1.0,3.0,2,,8,Renwick Court,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"8 Renwick Court, Lavington",-36.0384178,146.953262,612.0,2016936604,
NSW,"['Gas', 'SecureParking', 'SolarPanels']",House,['House'],1.0,3.0,2,,474,Ashford Street,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"474 Ashford Street, Lavington",-36.0414925,146.940552,837.0,2016930566,
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Floorboards', 'Gas', 'SecureParking', 'SwimmingPool', 'GroundFloor', 'Bath', 'Heating', 'Dishwasher', 'Shed', 'FullyFenced']",House,['House'],2.0,8.0,4,,388,Paul Avenue,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"388 Paul Avenue, Lavington",-36.0488663,146.954041,723.0,2016636850,
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'SecureParking', 'SwimmingPool', 'Gym', 'BroadbandInternetAccess', 'Dishwasher', 'Study', 'TennisCourt', 'Shed', 'FullyFenced', 'GardenCourtyard', 'BalconyDeck']",House,['House'],4.0,5.0,10,,677,Lyne Street,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"677 Lyne Street, Lavington",-36.0253258,146.931488,274600.0,2016508733,300.0
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Shed', 'FullyFenced', 'GardenCourtyard', 'BalconyDeck']",House,['House'],2.0,3.0,3,,673,Pearsall Street,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"673 Pearsall Street, Lavington",-36.0379181,146.9208,1040.0,2016979371,
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Gas', 'SecureParking', 'Heating', 'Dishwasher', 'Shed', 'FullyFenced']",House,['House'],1.0,3.0,2,,4,GRAETZ COURT,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"4 GRAETZ COURT, Lavington",-36.0398331,146.951111,638.0,2016975505,
NSW,"['BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'Heating', 'Dishwasher']",House,['House'],1.0,2.0,2,,449,McDonald Road,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"449 McDonald Road, Lavington",-36.04375,146.939209,405.0,2016938266,
NSW,"['Ensuite', 'Floorboards', 'SecureParking']",House,['House'],2.0,3.0,1,,435,Parkview Crescent,Albury - Greater Region,Regional NSW,LAVINGTON,2641,"435 Parkview Crescent, Lavington",-36.0451355,146.949127,708.0,2016929577,
